,interaction,features,odds,p,is_significant,q,log_o,log_q
5645,CHEBI:16057:-,IPR006203,421.25,2.950551617361946e-05,True,0.00044264389393628496,2.6245399138793952,3.3539455222905534
5646,CHEBI:17319:-,IPR022310,275.0204081632653,5.655554106390884e-05,True,0.0007402844195137508,2.439364922280569,3.13060139095335
5647,CHEBI:17319:-,IPR024177,963.2857142857143,9.458568159565287e-06,True,0.00017628798358193976,2.983755119662383,3.7537772897535033
5648,CHEBI:17319:-,IPR025777,481.5,2.361374308779504e-05,True,0.000372595268319278,2.6825962914605532,3.4287626646192604
5649,CHEBI:17319:-,IPR029056,73.83516483516483,0.0005860803359374296,True,0.0042874770065988565,1.8682632487686412,2.3677981960299928
5650,CHEBI:17319:-,IPR029062,59.9375,0.0008662143293526259,True,0.005841845657900462,1.7776986245147388,2.233449921311051
5651,CHEBI:16908:-,IPR004434,51.36758893280632,0.0041538495001328555,True,0.016025390863004224,1.7106891814971272,1.7951913691367094
5652,CHEBI:4167:-,IPR011658,15000.0,0.0003453208109299077,True,0.0029239417340735626,4.176091259055681,2.534031285894224
5653,CHEBI:16908:+,IPR036784,120.93693693693693,0.00032138351679473733,True,0.002766564098491103,2.0825589646979674,2.5580592631695116
5654,CHEBI:17345:-,IPR020590,17.513227513227513,0.009260054436081357,True,0.025491377318890427,1.2433661896024746,1.593606698629043
5656,CHEBI:28368:-,IPR014711,280.25,8.510327683581663e-05,True,0.0010290583744025541,2.4475456212670106,2.9875599887343114
5657,CHEBI:4170:-,IPR008936,59.324444444444445,0.0012547883439433082,True,0.007472468471932239,1.7732336798713926,2.126535908673391
5658,CHEBI:17336:-,IPR016161,60.845454545454544,0.0010271764302758751,True,0.006558398294815764,1.784228139845275,2.183202211944169
5661,CHEBI:62517:-,IPR006248,2249.0,2.6294572168546404e-06,True,6.075535453857895e-05,3.351989455435632,4.216415440460828
5665,CHEBI:76451:-,IPR002346,153.02272727272728,0.0001525822783888132,True,0.0016153079665337103,2.184755937981758,2.791744665026059
5666,CHEBI:62517:-,IPR015932,2249.0,2.6294572168546404e-06,True,6.075535453857895e-05,3.351989455435632,4.216415440460828
5667,CHEBI:62517:-,IPR001030,1349.0,5.5196788818806e-06,True,0.000113991998820236,3.1300119496719043,3.943125631033432
5668,CHEBI:17345:-,IPR020084,10.501587301587302,0.020772796035152755,True,0.04126642201643284,1.0212549470909085,1.384403184766456
5669,CHEBI:62517:-,IPR000573,1349.0,5.5196788818806e-06,True,0.000113991998820236,3.1300119496719043,3.943125631033432
